Resumo,Chave da item,ID da item,Tipo de item,Status,Chave do projeto,Nome do projeto,Líder do projeto,Descrição,Prioridade,Responsável,Módulo,Tipo de Teste,Passos,Comportamento Esperado,Comportamento Atual
[Teatros] Impossível criar novo teatro como administrador — Risco Alto,CA-58,10281,Erro,Em andamento,CA,Cinema APP,Izadora Santos de Sousa,"Ao tentar cadastrar um novo teatro via API (POST /teatros) utilizando um token de administrador válido, a API retorna erro e não permite a criação, mesmo com payload completo e correto assim como está no swagger.",Alta,Izadora Santos de Sousa,Teatros,Automatizado,"Logar como administrador e obter token. Enviar requisição POST /teatros com o corpo: { ""name"": ""Sala 1"", ""capacity"": 100, ""type"": ""standard"" }",Teatro criado com sucesso (status 201 Created).,"A API retorna erro 400, impedindo o cadastro."
[Filmes] Cadastro de filme com nome de apenas uma letra — Risco Médio,CA-57,10280,Erro,Em andamento,CA,Cinema APP,Izadora Santos de Sousa,"A API permite cadastrar um filme com nome de apenas um caractere. Isso demonstra a ausência de validação mínima para o campo titulo, o que pode comprometer a organização e visualização correta do catálogo.",Média,Izadora Santos de Sousa,Filmes,Automatizado,"Enviar POST /filmes com token de administrador e o seguinte corpo: { ""title"": ""s"", ""synopsis"": ""s"", ""director"": ""s"", ""genres"": [ ""s"" ], ""duration"": 0, ""classification"": ""s"", ""poster"": ""s"", ""releaseDate"": ""2025-06-27"" }",A API deveria retornar erro de validação exigindo no mínimo 2 ou 3 caracteres no nome do filme.,Cadastro é aceito e o filme com título inválido é adicionado ao sistema.
[Usuário] Cadastro com nome de apenas uma letra é aceito — Risco Médio,CA-56,10279,Erro,Em andamento,CA,Cinema APP,Izadora Santos de Sousa,"Durante os testes de cadastro via POST /auth/register, foi possível criar um usuário com um nome contendo apenas 1 caractere (ex: ""s""). Isso indica ausência de validação de tamanho mínimo para o campo nome, o que pode comprometer a integridade dos dados e dificultar a identificação dos usuários.",Média,Izadora Santos de Sousa,Usuário,Automatizado,"Enviar uma requisição POST /auth/register com o corpo: { ""nome"": ""s"", ""email"": ""exemplo@email.com"", ""senha"": ""Senha123"" }","Retornar erro de validação (400 Bad Request), exigindo no mínimo 2 ou 3 caracteres no campo nome.",Usuário é cadastrado normalmente com apenas 1 letra no nome.
[Login] Ausência de mensagem clara ao usar senha incorreta (frontend) — Risco Médio,CA-55,10278,Erro,Em andamento,CA,Cinema APP,Izadora Santos de Sousa,"Ao realizar login com uma senha incorreta, a aplicação exibe apenas um erro genérico ou sem mensagem visível, dificultando o entendimento do usuário. No teste automatizado com Robot Framework, o cenário falha por ausência da mensagem esperada de erro.",Média,Izadora Santos de Sousa,Login,Automatizado,Ir na pagina de login e fazer o teste usando o robot inserindo email e senha incorretos e observar o que acontece,"O sistema deve exibir uma mensagem clara como: ""Usuário ou senha incorretos"" com status 401 Unauthorized.","Nenhuma mensagem é exibida ou a resposta visual não condiz com o esperado, quebrando o fluxo do teste automatizado."
[Reservas] Erro ao buscar detalhes de uma reserva — Risco Médio,CA-54,10277,Erro,Em andamento,CA,Cinema APP,Izadora Santos de Sousa,"Ao tentar buscar reservas com o id da reserva não é possivel achar, o status 500 aparece no postman",Média,Izadora Santos de Sousa,Reservas,Automatizado,Criar uma reserva com sucesso. Copiar o ID retornado. Fazer uma requisição GET /reservas/{id}. Observar a resposta da API.,A API deveria retornar os dados da reserva correspondente ao ID informado com status 200 OK.,"""success"": false, ""message"": ""Cannot read properties of null (reading '_id')"", ""stack"": ""TypeError: Cannot read properties of null (reading '_id')\n    at exports.getReservationById (/home/izadora/Área de trabalho/challenge_final2/back/cinema-challenge-back/src/controllers/reservationController.js:111:26)\n    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)"""
[Perfil] Erro ao atualizar dados do perfil via Postman — Risco Alto,CA-53,10276,Erro,Em andamento,CA,Cinema APP,Izadora Santos de Sousa,"Ao tentar atualizar os dados do perfil do usuário via requisição PUT no Postman, o sistema retorna erro sem uma mensagem clara. Mesmo com token válido e payload correto, a atualização não é realizada.",Média,Izadora Santos de Sousa,Perfil,Automatizado,Realizar login e obter token JWT. Enviar uma requisição PUT para /profile com dados válidos e o token no header. Observar a resposta da API.,"A API deveria atualizar os dados do perfil e retornar 200 OK com os dados atualizados, ou 204 No Content.",A API retorna erro (ex: 500) mesmo com dados e autenticação corretos.
NAV-02 - Menu adaptável em celular,CA-51,10274,QAlity Test,Tarefas pendentes,CA,Cinema APP,Izadora Santos de Sousa,Menu adaptável em celular,Alta,Izadora Santos de Sousa,UI - Interface e Navegação,Manual,Acessar em celular ou modo responsivo,Menu colapsável funcional,
NAV-01 - Menu funcional,CA-50,10273,QAlity Test,Tarefas pendentes,CA,Cinema APP,Izadora Santos de Sousa,Menu funcional,Média,Izadora Santos de Sousa,UI - Interface e Navegação,Manual,Acessar diferentes páginas,Menu e links sempre visíveis e funcionais,
RESERVE-05 - Exibir status da reserva,CA-49,10272,QAlity Test,Tarefas pendentes,CA,Cinema APP,Izadora Santos de Sousa,Exibir status da reserva,Média,Izadora Santos de Sousa,Reserva,Manual,Observar cores/ícones no histórico,"Indicação visual correta de status (pendente, confirmada...)",
CHECKOUT-02 - Finalizar compra com método válido,CA-48,10271,QAlity Test,Tarefas pendentes,CA,Cinema APP,Izadora Santos de Sousa,Finalizar compra com método válido,Média,Izadora Santos de Sousa,CHECKOUT,Manual,"Selecionar método e clicar ""Finalizar compra""",Confirmação da reserva,
CHECKOUT-01 - Visualizar resumo da compra,CA-45,10268,QAlity Test,Tarefas pendentes,CA,Cinema APP,Izadora Santos de Sousa,Visualizar resumo da compra,Média,Izadora Santos de Sousa,CHECKOUT,Manual,Acessar /checkout após seleção,Lista de assentos + valor total exibidos,
RESERVE-03 - Tentar selecionar assento ocupado,CA-44,10267,QAlity Test,Tarefas pendentes,CA,Cinema APP,Izadora Santos de Sousa,Tentar selecionar assento ocupado,Alta,Izadora Santos de Sousa,Reserva,Automatizado,Clicar em assento já reservado,"Mensagem ""Assento indisponível""",
RESERVE-01 - Visualizar minhas reservas,CA-43,10266,QAlity Test,Tarefas pendentes,CA,Cinema APP,Izadora Santos de Sousa,Visualizar minhas reservas,Média,Izadora Santos de Sousa,RESERVAS - Reserva de Assento,Automatizado,Acessar /reservations,Ver todas as reservas,
AUTH-20 - Visualizar dados do perfil,CA-42,10265,QAlity Test,Tarefas pendentes,CA,Cinema APP,Izadora Santos de Sousa,Visualizar dados do perfil,Média,Izadora Santos de Sousa,Autenticação,Automatizado,"Fazer login, abrir página /profile, e verificar campos","Os dados do perfil do usuário (como nome, e-mail e tipo de usuário, se aplicável) devem ser exibidos corretamente nos campos correspondentes da página /profile.",
AUTH-09 - Realizar login como usuário,CA-41,10264,QAlity Test,Tarefas pendentes,CA,Cinema APP,Izadora Santos de Sousa,Realizar login como usuário,Média,Izadora Santos de Sousa,Autenticação,Automatizado,"Abrir página de login, inserir dados válidos e clicar em login",Mensagem de login realizado com sucesso!,
SESSION-02 - Ver sessões de filme inválido,CA-40,10237,QAlity Test,Tarefas pendentes,CA,Cinema APP,Izadora Santos de Sousa,Ver sessões de filme inválido,Média,Izadora Santos de Sousa,Sessões - Gerenciamento,Automatizado,Acessar filme com ID inválido,"Página exibe erro 404 ""Filme não encontrado""",
SESSION-01 - Ver horários de sessões para filme,CA-38,10235,QAlity Test,Tarefas pendentes,CA,Cinema APP,Izadora Santos de Sousa,Ver horários de sessões para filme,Média,Izadora Santos de Sousa,Sessões - Gerenciamento,Automatizado,Acessar /filmes/:id,"Lista com datas, horários, sala e vagas",
MOVIE-02 - Acessar detalhes de um filme,CA-37,10234,QAlity Test,Tarefas pendentes,CA,Cinema APP,Izadora Santos de Sousa,Ao acessar a urlbase/movies/:id devria aparecer a descrição e título do filme para o usuário ver.,Média,Izadora Santos de Sousa,Filmes - Gerenciamento,Manual,Clicar em um card de filme,"Redirecionado para /filmes/:id com sinopse, elenco, sessões",
MOVIE-01 - Visualizar lista de filmes,CA-36,10233,QAlity Test,Tarefas pendentes,CA,Cinema APP,Izadora Santos de Sousa,Visualizar lista de filmes,Média,Izadora Santos de Sousa,Filmes - Gerenciamento,Automatizado,Acessar /filmes e checar com teste automatizado/manual se existe a lista,"Cards com pôster, título, gênero e duração",
HOME-02 - Layout responsivo,CA-35,10232,QAlity Test,Tarefas pendentes,CA,Cinema APP,Izadora Santos de Sousa,Layout responsivo,Alta,Izadora Santos de Sousa,UI - Interface e Navegação,Manual,Abrir em diferentes resoluções,Layout se ajusta corretamente,
